HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9015967,9016078,15735,9015967,7115.66906,928109067,7.08733892,25514.4201,8930.04704,0.3,3,277383.994,7115.66906
9015968,9016078,15724,9015968,10018.2409,356091285,9.96108011,35859.8884,12550.9609,0.3,2,277383.994,10018.2409
9015983,9015670,15741,9015983,15816.6718,129282242,15.7370127,56653.2458,19828.636,0.3,1,277383.994,15816.6718
9016017,9016018,15726,9016017,13173.2094,154156444,13.1018493,47166.6576,16508.3302,0.3,1,277383.994,13173.2094
9016018,9015841,15743,9016018,16755.2665,806786364,16.6992133,60117.168,21041.0088,0.3,2,277383.994,16755.2665
9016035,9015773,15453,9016035,12375.1507,2444859266,12.3024353,44288.7671,15501.0685,0.3,3,277383.994,12375.1507
9016040,9016063,15730,9016040,9712.84661,165208860,9.65477105,34757.1758,12165.0115,0.3,1,277383.994,9712.84661
9016063,9016018,15744,9016063,8027.25609,519484329,7.99857308,28794.8631,10078.2021,0.3,2,277383.994,8027.25609
9016077,9016257,15745,9016077,6818.47553,95089116.1,6.79663526,24467.8869,8563.76043,0.3,1,277383.994,6818.47553
9016078,9016257,15739,9016078,6000.11452,1339636868,5.96323548,21467.6477,7513.67671,0.3,3,277383.994,6000.11452
9016092,9016035,15456,9016092,10259.9925,107370993,10.2217485,36798.2948,12879.4032,0.3,1,277383.994,10259.9925
